site,mse,rmse,r2_score,relative_error,mae
CZ-KrP,0.00027682568,0.01663808,0.724373459815979,0.015531885,0.008430222
CZ-Lnz,0.0002283632,0.015111691,0.8961762189865112,0.01506619,0.008535352
CZ-RAJ,0.00013054814,0.011425766,0.8758279085159302,0.012130423,0.006607165
CZ-Stn,0.0001999495,0.01414035,0.870978832244873,0.01567625,0.008457348
CZ-wet,0.00014244572,0.011935063,0.847736120223999,0.012798277,0.006844894
DE-Geb,0.0003753862,0.019374887,0.7132707834243774,0.016875397,0.009395365
DE-Gri,0.00026359427,0.016235586,0.7950904369354248,0.01580554,0.008653633
DE-Hai,0.00020183559,0.014206885,0.8734575510025024,0.014493579,0.007958309
DE-HoH,0.00021582641,0.014691032,0.8746979236602783,0.016095802,0.008807851
DE-Hte,0.00032052342,0.017903168,0.4117643237113952,0.019016052,0.010105104
DE-Hzd,0.00040721582,0.020179588,0.70589280128479,0.02418007,0.012915795
DE-Kli,0.00040773815,0.020192526,0.6929990649223328,0.018340599,0.010232158
DE-Lkb,0.00026305913,0.016219098,-0.5351849794387817,0.016400648,0.008603462
DE-Lnf,0.00020036983,0.014155205,0.8850274682044983,0.013834131,0.007818519
DE-Obe,0.00015576782,0.012480698,0.8892680406570435,0.0141779315,0.007747741
DE-RuR,0.00022965614,0.01515441,0.8552548289299011,0.014773576,0.008284205
DE-RuS,0.00097404566,0.031209705,0.5284007787704468,0.0268554,0.015743723
DE-RuW,0.00049109966,0.022160769,0.7347184419631958,0.024105696,0.01321666
DE-Seh,0.0007048579,0.02654916,0.5863418579101562,0.023004567,0.013329927
DE-SfN,0.0002567052,0.016022023,0.304576575756073,0.018071136,0.009489092
DE-Tha,0.00016002833,0.01265023,0.8250055909156799,0.013298214,0.007186983
DK-Fou,0.00029456225,0.017162817,0.621756911277771,0.017313858,0.009447219
DK-Gds,0.00039838554,0.019959597,0.7178810834884644,0.0179168,0.009924076
DK-Skj,0.00020760656,0.014408559,0.743535041809082,0.0146889435,0.007909454
DK-Sor,0.0005350939,0.023132097,0.7623832821846008,0.02118972,0.012446446
DK-Vng,0.00023906262,0.01546165,0.7916263341903687,0.013174027,0.007325534
ES-Abr,6.773528e-05,0.008230144,0.8431761860847473,0.009041871,0.004816697
ES-Agu,6.584506e-05,0.008114497,0.314788281917572,0.009939319,0.005057499
ES-Amo,0.00013908261,0.011793329,-1.3647398948669434,0.014235296,0.0070421635
ES-LJu,4.353102e-05,0.0065978044,-0.4071311950683594,0.00774118,0.0039008174
ES-LM1,0.000108567314,0.010419564,0.8342718482017517,0.0121291205,0.006535552
ES-LM2,7.896185e-05,0.008886048,0.8744962215423584,0.010521039,0.005641197
ES-LgS,4.0219868e-05,0.0063419137,0.5991501212120056,0.007571033,0.003891986
FI-Hyy,4.92363e-05,0.007016858,0.930536925792694,0.0076406007,0.004096652
FI-Ken,3.8929717e-05,0.006239368,0.8812177777290344,0.00690267,0.0036267764
FI-Let,0.00014487717,0.012036493,0.8464694023132324,0.0119845,0.006538875
FI-Lom,0.00010116451,0.010058057,0.5152082443237305,0.009741623,0.005068637
FI-Qvd,0.00022722466,0.015073973,0.7957805395126343,0.014691417,0.008207125
FI-Sii,0.000218335,0.014776163,-1.5503084659576416,0.014640724,0.0076286686
FI-Sod,4.746282e-05,0.0068893265,0.8112446069717407,0.007225167,0.0037829569
FI-Var,7.84554e-05,0.008857505,0.5641041994094849,0.008712279,0.0045425184
FR-Aur,0.00053847954,0.023205161,0.5379319190979004,0.022075126,0.012173683
FR-Bil,0.00043894528,0.020951021,0.6475092172622681,0.022654474,0.012649259
FR-EM2,0.0015784104,0.03972921,0.3849512338638305,0.03062146,0.018554337
FR-FBn,0.00021449107,0.014645513,0.7648009061813354,0.016738947,0.009054893
FR-Fon,0.00056926603,0.023859296,0.7335571646690369,0.02509509,0.013928631
FR-Gri,0.00066085835,0.025707165,0.5582890510559082,0.021268567,0.012165265
FR-Hes,0.00044644155,0.021129163,0.7989391088485718,0.024049068,0.013193995
