site,ensemble_mse_scaled,full_mse_scaled,G_hat_count,O_hat_count,ensemble_rmse
US-xSB,0.0005759308876932,0.0005845726,257,52,0.023998560117082023
US-xSE,0.0009212860921085,0.00091955916,257,52,0.030352694972745006
US-xSR,0.0007405838224927,0.0007497274,257,52,0.027213669772610603
US-xST,0.0011990440561729,0.0012207133,257,52,0.03462721554172238
US-xTA,0.0005681806291318,0.00057768135,257,52,0.023836539789403158
US-xTR,0.0010915439451784,0.0011291127,257,52,0.03303852213974469
US-xUK,0.0009052432520774,0.00092044816,257,52,0.030087260627670975
US-xUN,0.0008865131911365,0.00091252674,257,52,0.02977437138104682
US-xYE,0.0011330794659237,0.0011180453,257,52,0.0336612457571567
ZM-Mon,0.0010706099870704,0.0010828697,257,52,0.03272017706355514
