site_left_out,mse_scaled,rmse_scaled,r2_scaled,mae_scaled,relative_error
CN-Sw2,0.00015231874,0.012341748,-0.0512032508850097,0.008065267,0.016132284
CZ-BK1,0.00033857176,0.018400319,0.8162404894828796,0.010467444,0.018606758
CZ-BK2,0.0003027945,0.017400991,0.6579570770263672,0.009847612,0.018425852
CZ-KrP,0.0004036427,0.020090861,0.5981379151344299,0.010100353,0.018828567
CZ-Lnz,0.00023427066,0.015305903,0.893498420715332,0.008832345,0.015748408
CZ-RAJ,0.00013291724,0.0115289735,0.8735796809196472,0.006829148,0.012574189
CZ-Stn,0.00021302252,0.014595291,0.8625497817993164,0.008371919,0.015246198
CZ-wet,0.00019822699,0.014079311,0.788115918636322,0.008141873,0.01496122
DE-Geb,0.00038894278,0.019721633,0.7029238939285278,0.009876949,0.017920753
DE-Gri,0.00034352744,0.018534493,0.7329587936401367,0.010721895,0.019694582
DE-Hai,0.0002615596,0.016172804,0.8360167741775513,0.0091719795,0.016749157
DE-HoH,0.0002101841,0.014497727,0.8779834508895874,0.008713963,0.01588305
DE-Hte,0.0005939773,0.02437165,-0.0900214910507202,0.014515734,0.02732471
DE-Hzd,0.00037436732,0.019348575,0.729629635810852,0.0120426705,0.022466222
DE-Kli,0.000659199,0.025674872,0.5036452412605286,0.013700203,0.025587125
DE-Lkb,0.00041539638,0.020381276,-1.4239225387573242,0.011901535,0.022827774
DE-Lnf,0.00036422198,0.0190846,0.7910242080688477,0.0099500455,0.017241782
DE-Obe,0.0002750752,0.016585391,0.8044613003730774,0.00996003,0.017908871
DE-RuR,0.00026202336,0.016187135,0.8348588943481445,0.009270692,0.016675642
DE-RuS,0.0011536855,0.033965945,0.4414577484130859,0.016842518,0.028621562
DE-RuW,0.000620333,0.024906486,0.664924144744873,0.015491943,0.02796021
DE-Seh,0.00092685164,0.030444238,0.4560842514038086,0.015454844,0.026546147
DE-SfN,0.00013233424,0.011503662,0.641492486000061,0.0068409224,0.013114109
DE-Tha,0.00023721346,0.015401736,0.7406047582626343,0.009471888,0.017670004
DK-Fou,0.0006775937,0.02603063,0.1304575800895691,0.015823735,0.029631296
DK-Gds,0.00041749864,0.020432783,0.7044882774353027,0.01046542,0.019005703
DK-Skj,0.00035105177,0.018736375,0.5651941299438477,0.0115543725,0.021342643
DK-Sor,0.0005728145,0.023933543,0.7456389665603638,0.0137678785,0.023825748
DK-Vng,0.0005045614,0.022462444,0.560400128364563,0.011065717,0.020856896
ES-Abr,6.2918414e-05,0.007932113,0.8543399572372437,0.005021851,0.009524533
ES-Agu,8.480104e-05,0.009208748,0.1175217628479003,0.0059795054,0.01164153
ES-Amo,4.447136e-05,0.006668685,0.2431991696357727,0.0045447904,0.009130542
ES-LJu,2.8435861e-05,0.0053325286,0.08085697889328,0.0033906128,0.0067271534
ES-LM1,7.593575e-05,0.008714112,0.8840858936309814,0.005652457,0.010668446
ES-LM2,6.733561e-05,0.008205828,0.8929765820503235,0.0053652655,0.010114904
ES-LgS,3.778793e-05,0.0061471886,0.6234487295150757,0.0038058457,0.0073711975
FI-Hyy,8.065151e-05,0.008980619,0.8862187266349792,0.005150512,0.009584225
FI-Ken,5.1240888e-05,0.0071582743,0.8436803817749023,0.00445821,0.008546714
FI-Let,0.00021995557,0.014830899,0.766914963722229,0.007874146,0.014278348
FI-Lom,4.9034134e-05,0.0070024375,0.7650667428970337,0.004852003,0.009354275
FI-Qvd,0.00030541306,0.01747607,0.725567638874054,0.009833576,0.018093813
FI-Sii,3.3304445e-05,0.0057710004,0.6110252141952515,0.003957123,0.0077145714
FI-Sod,6.959386e-05,0.008342293,0.7232415080070496,0.0054622632,0.0105380975
FI-Var,8.204086e-05,0.009057641,0.5442333817481995,0.0049062464,0.009442938
FR-Aur,0.0005841574,0.024169348,0.4987525343894958,0.0130249495,0.02441495
FR-Bil,0.0005037367,0.02244408,0.5954700708389282,0.013475201,0.023923974
FR-EM2,0.0013461369,0.03668974,0.4755119085311889,0.017385129,0.028971573
FR-FBn,0.00031121753,0.017641358,0.658745288848877,0.011597489,0.021269517
FR-Fon,0.0005311228,0.0230461,0.7514166831970215,0.0139306905,0.026002586
FR-Gri,0.0006586365,0.025663914,0.559505820274353,0.011945875,0.021513727
FR-Hes,0.00042309824,0.020569352,0.8094643354415894,0.012827999,0.023659045
FR-LBr,0.0003035008,0.017421274,0.7652689218521118,0.01137796,0.02088453
FR-LGt,0.00016703462,0.012924188,0.7708946466445923,0.00783293,0.014535732
FR-Lam,0.0008928015,0.029879784,0.4562081694602966,0.01680136,0.030951528
FR-Mej,0.00075032853,0.027392125,0.5877917408943176,0.015043525,0.02662595
FR-Pue,0.00019898474,0.014106195,0.6317180395126343,0.009144908,0.017337322
FR-Tou,0.00024040631,0.015505042,0.6593102216720581,0.00945794,0.017389072
GF-Guy,0.0009541973,0.030890085,0.7419957518577576,0.020275291,0.03575244
GH-Ank,0.0012347703,0.0351393,0.6046482920646667,0.020755531,0.036380194
GL-NuF,3.135026e-05,0.0055991304,0.7338436245918274,0.0033823184,0.006506249
GL-ZaF,6.120834e-05,0.007823576,0.5823143720626831,0.0049742665,0.009534024
GL-ZaH,3.3382563e-05,0.0057777646,-1.0697860717773438,0.0037978946,0.007480709
IL-Yat,0.00025514507,0.01597326,-0.0963040590286254,0.009466222,0.018425085
IT-BCi,0.0017712065,0.042085703,0.2887278199195862,0.02122072,0.03569649
IT-BFt,0.0008708993,0.029511003,0.679142951965332,0.018858444,0.0334472
IT-CA1,0.00025466553,0.015958244,0.6930224895477295,0.008628123,0.015764786
IT-CA2,0.0012980549,0.03602853,-0.4891737699508667,0.019353114,0.036971886
IT-CA3,0.0003757065,0.01938315,0.6719653606414795,0.009691797,0.01718503
IT-Col,0.00029025937,0.017037,0.8192836046218872,0.009412299,0.0171933
IT-Cp2,0.00047576593,0.021812059,0.675838828086853,0.014169579,0.025744138
IT-Cpz,0.00031440027,0.017731335,0.7425930500030518,0.010950225,0.019895121
IT-Isp,0.0010050015,0.03170176,0.5872458815574646,0.018580804,0.03181138
IT-La2,0.00046300646,0.021517584,0.7534763813018799,0.013256889,0.024009168
IT-Lav,0.00040532282,0.020132631,0.8113468885421753,0.012102704,0.02145627
IT-Lsn,0.00017483233,0.013222418,0.7645448446273804,0.007735767,0.014092638
IT-MBo,0.00025183652,0.015869359,0.8256460428237915,0.008716489,0.0155678755
IT-Noe,0.00018901272,0.013748189,0.6152591705322266,0.008966757,0.017060839
IT-PT1,0.00044546442,0.021106029,0.7611105442047119,0.012249258,0.021538565
IT-Ren,0.00030387822,0.017432103,0.7530399560928345,0.010225674,0.018893009
IT-Ro1,0.00021741059,0.01474485,0.8136971592903137,0.008517843,0.015438927
IT-Ro2,0.0003925338,0.019812467,0.7209451198577881,0.011570858,0.021402776
IT-SR2,0.0005109791,0.022604847,0.7772499322891235,0.014195195,0.02496733
