site_id,mse,rmse,r2,relative_error,mae
RU-Ha1,0.0002388215216342,0.0154538513527934,0.1098980903625488,0.0241402294486761,0.0123011656105518
SD-Dem,0.0004190385807305,0.0204704318647789,-0.0937603712081909,0.0322538912296295,0.0165194496512413
SE-Deg,0.0005347598926164,0.0231248760562391,-8.90939998626709,0.0326544269919395,0.0165605638176202
SE-Htm,0.0009816191159188,0.0313308013928605,0.4629038572311401,0.0376229621469974,0.0208395589143037
SE-Lnn,0.000402680481784,0.0200669001538365,0.5121651887893677,0.0255159568041563,0.0134968273341655
SE-Nor,0.0006668277783319,0.0258230087002257,0.3016465306282043,0.0299165360629558,0.0157138593494892
SE-Ros,0.000164994969964,0.0128450367832882,0.6732637882232666,0.0199986323714256,0.0102900592610239
SE-Svb,0.0002069485053652,0.0143857048963646,0.703770637512207,0.020973777398467,0.0109785329550504
SJ-Adv,0.0012283665128052,0.0350480600433921,-12.006803512573242,0.0412540733814239,0.020943658426404
US-A32,0.00081522250548,0.0285521015948047,0.5346779823303223,0.0312497522681951,0.0175345968455076
US-AR1,0.0004155116912443,0.0203841038862226,-0.7539985179901123,0.0303246639668941,0.0153872612863779
US-AR2,0.0004963843384757,0.0222796844339358,-3.099537849426269,0.0326117053627967,0.016420230269432
US-ARM,0.0007838713936507,0.0279977033638612,0.1175476908683776,0.0329116247594356,0.0173715967684984
US-ARb,0.0006433834205381,0.0253650038544873,0.4849218130111694,0.0347221232950687,0.0182931758463382
US-ARc,0.0004558470100164,0.0213505739973528,0.5761321783065796,0.0311519280076026,0.0163090899586677
US-Atq,0.0004238099500071,0.0205866449429508,-7.759424209594727,0.0342366322875022,0.0172090381383895
US-BZB,0.0003021269512828,0.017381799425918,-0.723279595375061,0.0291495043784379,0.0147758675739169
US-BZF,0.0003772443160414,0.0194227782781318,-0.4328593015670776,0.0302240885794162,0.0152863562107086
US-BZS,0.0002643145271576,0.0162577528323472,0.3812959790229797,0.0255783535540103,0.0130223482847213
US-BZo,0.0004047583206556,0.0201186063298548,-0.8448306322097778,0.0326293148100376,0.0165051352232694
US-Bi1,0.0013509439304471,0.0367551891635331,0.4853724241256714,0.0393918752670288,0.0228022392839193
US-Bi2,0.0022254050709307,0.0471741992081552,0.3779065608978271,0.0466377213597297,0.0270020645111799
US-Blo,0.0007046553655527,0.0265453454592844,0.2878424525260925,0.0351184085011482,0.0184952896088361
US-CF1,0.0005637450376525,0.0237433156415137,0.4131081700325012,0.0320813134312629,0.0169502235949039
US-CF2,0.0004747521597892,0.0217888081314514,0.439477801322937,0.0313169471919536,0.0164157841354608
US-CF3,0.0006129218381829,0.0247572582929321,0.3717170357704162,0.0319204926490783,0.0169740747660398
US-CF4,0.000627146102488,0.0250428852668385,0.3931017518043518,0.0339209772646427,0.0179199930280447
US-CRT,0.0012550090905278,0.0354261074707325,0.2135681509971618,0.0439047142863273,0.0233575347810983
US-CS1,0.0007113880710676,0.0266718591603141,0.437042772769928,0.0345292203128337,0.0184305347502231
US-CS3,0.0008428134606219,0.0290312497254593,0.4871717691421509,0.0343292467296123,0.0188082717359066
US-CS4,0.0007899486226961,0.0281060246690296,0.5250877141952515,0.0344783924520015,0.0188239160925149
US-EDN,0.0002543423906899,0.0159481155842939,-0.2520809173583984,0.0234691761434078,0.0120526896789669
US-GLE,0.0003158843319397,0.0177731351184798,0.2086762189865112,0.0283479765057563,0.0143985198810696
US-Goo,0.0005554340896196,0.0235676492170871,0.5407711267471313,0.0339741669595241,0.0178032293915748
US-HB1,0.0030719244387,0.0554249441921241,-5.302554607391357,0.1036451533436775,0.0531080663204193
US-HWB,0.0013791184173896,0.0371364836433081,0.4640577435493469,0.0517609380185604,0.0223762206733226
US-Hn3,0.0017037290381267,0.0412762527142031,-9.120115280151367,0.0461752228438854,0.0233799535781145
US-Ho2,0.0013725438620895,0.0370478590756539,-0.0167920589447021,0.0475834682583808,0.025026548653841
US-IB2,0.0005465621361508,0.023378668399866,0.5476081371307373,0.0326527319848537,0.0172923225909471
US-ICs,0.0005423661787062,0.0232887564869034,-8.75395393371582,0.0339400619268417,0.0171046908944845
US-ICt,0.0003709802986122,0.019260848854925,-6.00948429107666,0.031167821958661,0.0156925618648529
US-Ivo,0.0003982774505857,0.019956889802415,-3.256561756134033,0.033909510821104,0.0170909240841865
US-Jo2,0.0011553550139069,0.0339905135869841,-14.792723655700684,0.0435966365039348,0.0220243372023105
US-KFS,0.0004527323762886,0.0212775086955362,0.4740734696388244,0.0298966206610202,0.015520610846579
US-KLS,0.0005760625354014,0.0240013027855038,0.3795440196990967,0.0311689581722021,0.0164337344467639
US-KS1,0.0007570974412374,0.0275154037084215,0.3481956124305725,0.0363729037344455,0.0190091617405414
US-KS2,0.0006448295898735,0.0253934950306875,0.3856924176216125,0.0325073078274726,0.0169581361114978
US-KS3,0.0002770330465864,0.0166443097359559,0.6594827175140381,0.0228615682572126,0.0119308093562722
US-LWW,0.0046584429219365,0.0682527869169934,-14.837642669677734,0.1268991529941558,0.0642198026180267
US-Lin,0.0005747364484705,0.0239736615574363,-2.21903920173645,0.0339581035077571,0.017253179103136
US-Los,0.00041376252193,0.020341153407072,0.4284987449645996,0.0318289808928966,0.0162991043180227
US-MOz,0.0006432020454667,0.0253614283009997,0.543878436088562,0.0348402746021747,0.0184452123939991
US-Me1,0.000876911857631,0.0296126975743693,-8.428091049194336,0.0351519845426082,0.017791336402297
US-Me2,0.0002714091097004,0.0164744987693244,0.7261239290237427,0.0227776765823364,0.0121398121118545
US-Me3,0.0002210248203482,0.0148669035225311,0.1460090279579162,0.0207814816385507,0.0106795234605669
US-Me4,0.004027837421745,0.0634652457786548,-3.608083248138428,0.1093237474560737,0.0574682056903839
US-Me5,0.0002118945412803,0.0145565978607758,0.2222196459770202,0.0210351236164569,0.010859397239983
US-Me6,0.0004381171311251,0.0209312477202192,-0.1174107789993286,0.0243118647485971,0.0125897005200386
US-Mpj,0.0003209672577213,0.0179155590959743,-1.6146554946899414,0.0258207824081182,0.0131924981251358
US-Myb,0.0005657740402966,0.0237860051353032,0.504666268825531,0.0309608150273561,0.0164373498409986
US-NC1,0.0008222564938478,0.0286750151499143,0.6048206090927124,0.0390746481716632,0.0213451888412237
US-NC4,0.0013387192739173,0.0365885128683495,0.3955448865890503,0.0468851067125797,0.0251283403486013
US-NR1,0.0003789109759964,0.0194656357716979,0.1813462376594543,0.0282107163220644,0.0144354356452822
US-ONA,0.0007116873166523,0.0266774683328907,0.4029685854911804,0.0369625762104988,0.0200587902218103
US-OWC,0.0006925975903868,0.0263172489137232,0.5070720911026001,0.0385335646569728,0.0203301813453435
US-Oho,0.0009614662267267,0.0310075188740855,0.5757201910018921,0.0400530658662319,0.0220313537865877
US-Prr,0.0008502184646204,0.0291585058708503,-5.867122650146484,0.0456648841500282,0.0230617951601743
US-Ro1,0.0013556021731346,0.0368185031354438,0.2200466990470886,0.0442215166985988,0.0237388778477907
US-Ro4,0.0007325818878598,0.0270662499777832,0.4862460494041443,0.0376307852566242,0.0200484860688447
US-Ro5,0.0012021572329103,0.0346721391452906,0.3740518689155578,0.0413507185876369,0.022530760616064
